Time,Temp1F,Temp2F,RH,Pres,AccX,AccZ
108302,37.01,36.13,36.94,12.27,0.998,0.332
108806,37.01,36.13,37.42,12.26,1.013,0.332
109308,37.01,36.13,37.42,12.26,1.013,0.332
109812,37.01,36.13,36.94,12.26,1.013,0.347
110316,35.26,36.13,36.94,12.26,1.028,0.347
110820,37.01,36.13,37.10,12.26,1.013,0.347
111324,37.01,36.13,37.42,12.26,0.998,0.347
111827,35.26,36.13,37.26,12.22,1.028,0.347
112331,37.01,36.13,37.10,12.26,1.013,0.362
112835,35.26,36.13,37.10,12.27,1.028,0.362
113339,37.01,36.13,37.42,12.26,1.013,0.362
113843,35.26,36.13,37.26,12.26,1.013,0.362
114347,37.01,36.13,36.94,12.26,1.028,0.347
114850,37.01,36.13,37.26,12.26,1.028,0.362
115354,36.13,36.13,37.26,12.26,1.013,0.347
115858,36.13,36.13,36.79,12.26,1.013,0.347
116362,36.13,36.13,37.10,12.26,1.013,0.347
116866,37.01,35.26,37.26,12.26,1.013,0.347
117369,37.01,36.13,36.94,12.26,1.013,0.332
117873,37.01,36.13,37.26,12.26,1.013,0.347
118377,36.13,36.13,37.42,12.26,1.013,0.362
118881,37.01,36.13,37.10,12.26,1.013,0.362
119385,37.01,36.13,37.10,12.26,1.013,0.347
119888,36.13,36.13,37.26,12.26,1.028,0.347
120392,36.13,36.13,37.42,12.26,1.013,0.347
120896,36.13,36.13,36.79,12.26,1.013,0.347
121400,35.26,36.13,37.10,12.26,1.028,0.347
121904,36.13,36.13,37.42,12.26,1.013,0.347
122407,36.13,36.13,37.26,12.26,1.013,0.347
122911,36.13,36.13,36.94,12.26,1.028,0.347
123415,36.13,36.13,37.26,12.26,1.013,0.347
123919,37.01,36.13,37.26,12.27,1.013,0.347
124423,36.13,36.13,37.26,12.26,1.013,0.347
124926,36.13,36.13,37.26,12.26,1.013,0.347
125430,37.01,36.13,37.26,12.26,1.013,0.347
125934,36.13,36.13,36.79,12.26,1.028,0.347
126438,35.26,36.13,37.42,12.26,1.028,0.347
126942,35.26,36.13,36.79,12.26,1.013,0.332
127446,37.01,36.13,37.26,12.26,1.013,0.332
127949,36.13,36.13,36.94,12.22,1.013,0.347
128453,36.13,36.13,37.42,12.27,1.013,0.332
128957,37.01,36.13,37.26,12.26,1.028,0.347
129461,36.13,36.13,37.26,12.26,1.013,0.362
129965,37.01,36.13,36.94,12.26,1.013,0.347
130468,36.13,36.13,37.26,12.26,1.013,0.347
130972,36.13,36.13,37.26,12.27,1.013,0.347
131476,36.13,36.13,37.26,12.26,1.028,0.347
131980,36.13,36.13,37.26,12.26,1.013,0.362
132484,37.01,36.13,36.63,12.26,1.043,0.347
132987,36.13,36.13,36.79,12.26,1.028,0.347
133491,36.13,36.13,36.94,12.22,1.028,0.347
133995,36.13,36.13,36.94,12.27,1.028,0.347
134499,36.13,36.13,36.79,12.26,1.013,0.347
135003,36.13,36.13,37.26,12.22,1.013,0.362
135506,37.01,35.26,36.94,12.26,1.013,0.347
136010,37.01,36.13,36.94,12.26,1.028,0.362
136514,37.01,36.13,36.94,12.26,1.013,0.347
137018,37.01,36.13,37.26,12.24,1.028,0.347
137522,37.01,36.13,36.79,12.26,1.013,0.347
138025,37.01,36.13,36.94,12.27,1.013,0.332
138529,37.01,36.13,37.10,12.26,1.013,0.332
139033,37.01,36.13,36.79,12.26,1.013,0.347
139537,37.01,36.13,36.79,12.26,1.028,0.347
140041,37.01,36.13,36.94,12.26,1.028,0.347
140545,37.01,36.13,36.79,12.26,1.028,0.347
141048,37.01,36.13,36.79,12.26,1.013,0.347
141552,37.01,36.13,36.79,12.26,1.013,0.347
142056,36.13,36.13,36.94,12.26,1.013,0.347
142560,36.13,36.13,37.26,12.26,1.013,0.347
143063,36.13,36.13,37.26,12.26,1.028,0.347
143566,37.01,36.13,37.26,12.26,1.013,0.347
144070,35.26,36.13,37.26,12.26,1.013,0.347
144574,37.01,36.13,36.94,12.26,1.013,0.347
145078,36.13,36.13,36.79,12.26,1.013,0.347
145582,36.13,36.13,36.94,12.26,1.028,0.347
146085,37.01,36.13,36.79,12.26,1.043,0.347
146589,37.01,36.13,37.26,12.26,1.013,0.347
147093,37.01,36.13,36.94,12.26,1.028,0.347
147597,36.13,36.13,37.26,12.26,1.013,0.347
148101,36.13,36.13,36.94,12.26,0.998,0.332
148604,36.13,36.13,36.79,12.26,1.013,0.347
149108,37.01,36.13,36.79,12.26,1.013,0.332
149612,37.01,36.13,36.94,12.26,1.013,0.347
150116,37.01,36.13,37.26,12.26,1.013,0.347
150620,37.01,36.13,36.79,12.26,1.013,0.347
151123,37.01,36.13,37.26,12.26,1.028,0.347
151627,36.13,36.13,37.26,12.26,1.013,0.347
152131,36.13,36.13,37.10,12.26,1.013,0.347
152635,37.01,36.13,37.42,12.26,1.013,0.347
153139,36.13,36.13,37.10,12.26,1.028,0.347
153643,37.01,36.13,37.26,12.26,1.028,0.347
154146,37.01,36.13,37.10,12.26,1.013,0.347
154650,36.13,36.13,36.94,12.26,1.013,0.347
155154,36.13,36.13,37.26,12.26,1.013,0.347
155658,36.13,36.13,37.42,12.26,1.028,0.347
156162,36.13,36.13,37.26,12.26,1.013,0.347
156665,36.13,36.13,37.57,12.26,1.013,0.347
157169,36.13,36.13,37.10,12.26,1.028,0.347
157673,36.13,36.13,37.42,12.24,1.013,0.347
158177,37.01,36.13,37.42,12.26,0.998,0.332
158681,37.01,35.26,36.94,12.22,1.013,0.347
159184,37.01,36.13,37.57,12.26,1.013,0.332
159688,37.01,36.13,37.42,12.26,1.013,0.362
160192,37.01,36.13,37.57,12.26,1.028,0.347
160696,36.13,36.13,41.83,12.26,1.013,0.347
161200,36.13,36.13,37.26,12.24,1.013,0.347
161703,36.13,36.13,37.10,12.26,0.998,0.347
162207,36.13,36.13,37.10,12.26,1.028,0.347
162711,36.13,36.13,37.26,12.26,1.028,0.347
163215,36.13,36.13,37.26,12.22,1.028,0.362
163719,37.01,36.13,37.73,12.26,1.028,0.362
164222,37.01,36.13,37.42,12.24,1.013,0.347
164726,37.01,36.13,37.26,12.26,1.028,0.362
165230,37.01,36.13,37.57,12.26,1.013,0.347
165734,37.89,36.13,37.10,12.26,1.028,0.347
166238,37.01,36.13,37.26,12.26,1.013,0.347
166742,37.01,36.13,37.26,12.26,1.028,0.347
167245,37.01,36.13,37.57,12.26,1.028,0.347
167749,36.13,36.13,37.26,12.26,1.028,0.347
168253,37.01,36.13,37.10,12.26,1.013,0.347
168757,37.01,36.13,37.26,12.26,1.013,0.332
169260,36.13,36.13,37.10,12.26,1.013,0.332
169763,36.13,36.13,37.57,12.26,1.028,0.347
170267,36.13,36.13,37.26,12.26,1.028,0.347
170771,37.89,36.13,37.10,12.26,1.013,0.347
171275,37.01,36.13,37.42,12.26,1.013,0.347
171779,36.13,36.13,36.94,12.26,0.998,0.347
172282,36.13,36.13,37.10,12.26,1.028,0.347
172786,36.13,36.13,37.26,12.26,1.013,0.347
173290,37.89,36.13,37.73,12.27,1.028,0.347
173794,36.13,36.13,36.94,12.26,1.028,0.347
174298,37.01,36.13,37.10,12.26,1.028,0.347
174801,37.01,36.13,37.10,12.26,1.013,0.332
175305,36.13,36.13,37.26,12.26,1.013,0.347
175809,37.01,36.13,37.10,12.26,0.984,0.347
176313,37.01,36.13,37.26,12.26,1.028,0.347
176817,37.01,36.13,37.26,12.26,1.028,0.347
177320,36.13,36.13,37.26,12.26,1.028,0.347
177824,36.13,36.13,37.57,12.26,1.028,0.347
178328,36.13,36.13,37.73,12.26,1.028,0.347
178832,36.13,36.13,37.57,12.26,1.013,0.347
179336,36.13,36.13,37.73,12.26,1.013,0.347
179840,36.13,36.13,37.26,12.26,1.013,0.347
180343,37.01,36.13,37.73,12.26,1.028,0.347
180847,37.01,36.13,37.10,12.26,1.013,0.347
181351,37.01,36.13,37.26,12.26,1.028,0.347
181855,37.01,36.13,37.26,12.26,1.028,0.347
182359,37.89,36.13,37.73,12.26,1.028,0.347
182862,36.13,36.13,37.73,12.22,1.028,0.347
183366,37.01,36.13,37.42,12.26,1.028,0.347
183870,36.13,36.13,37.73,12.26,1.028,0.347
184374,36.13,36.13,37.42,12.22,1.028,0.347
184878,37.01,36.13,37.42,12.24,1.013,0.347
185381,36.13,36.13,37.73,12.24,0.998,0.332
185885,36.13,35.26,37.42,12.26,1.013,0.332
186389,37.01,36.13,37.73,12.26,1.028,0.347
186893,36.13,36.13,37.89,12.22,1.028,0.347
187397,36.13,36.13,37.89,12.26,1.013,0.347
187900,36.13,36.13,37.89,12.26,1.028,0.347
188404,37.01,36.13,37.42,12.26,1.013,0.347
188908,37.89,36.13,37.89,12.26,1.013,0.347
189412,37.01,36.13,37.89,12.26,1.013,0.362
189916,37.01,36.13,37.57,12.26,1.013,0.347
190419,37.01,36.13,37.57,12.26,1.013,0.347
190923,37.89,36.13,37.73,12.26,1.028,0.347
191427,37.89,36.13,37.73,12.26,1.013,0.347
191931,37.01,36.13,37.42,12.26,1.013,0.347
192435,37.89,36.13,37.73,12.24,1.013,0.362
192939,37.01,36.13,38.05,12.26,1.028,0.347
193442,37.01,36.13,37.73,12.26,1.013,0.347
193946,37.01,36.13,37.57,12.26,0.998,0.332
